doc number,headline,doc length |D|,snippet,Doc path
163,Death toll in Swedish fire rises to 62,352,GOTEBORG Sweden (AP) _ After clinging to life for three daystwo youths trapped in a dance-hall fire died early Monday bringingthe death toll in the inferno to 62.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31022t/APW19981102.0190
164,(ATTN: N.Y.)   SNIPER IN ABORTION DOCTOR SLAYING IS STILL AT LARGE ,356,AMHERST N.Y.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31013t/NYT19981025.0186
165,EDITORIAL: VIOLENCE AGAINST ABORTION DOCTORS ,620,The New York Times said in an editorial on Monday Oct.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31013t/NYT19981025.0188
166,SENATE DEMOCRATS VULNERABLE IN TIGHT RACES ,1742,LOS ANGELES _ In 1992 in a good year for Democrats BarbaraBoxer won her seat in the U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30050t/NYT19981003.0061
167,Former drug cheat back in the swim of things,476,BANGKOK Thailand (AP) _ China's swim team will hit the water atthe Asian Games on Monday with a reminder of the darkest chapter inits story of drug shame.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30020t/APW19981206.0169
168,Typhoon Babs heads toward south China flooding Taiwan,589,TAIPEI Taiwan (AP) _ Typhoon Babs brought torrential rains andlandslides to Taiwan and lashed Hong Kong with strong winds Sundayafter killing at least 156 people in the Philippines and leavinghundreds of thousands homeless.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31011t/APW19981025.0412
169,LEONID METEOR SHOWERS ARRIVE THOUGH NOT EXACTLY AS EXPECTED ,603,The much-anticipated storm of Leonid meteors swept over Earth onTuesday a bit ahead of schedule leaving many sky watchersdisappointed but others dazzled by fireballs as bright as the fullmoon. The Leonids so named because they appear to come from theconstellation Leo flash through the sky in large numbers everyyear about this date but once in about every 33 years the swarm isoften so dense that tens or hundreds of meteors are seen each hour. The last such storm was in 1966 and a good show was expectedthis year.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30012t/NYT19981117.0290
170,TALIBAN SAID TO WEIGH TRIAL FOR BIN LADEN ,427,CAIRO _ The Taliban movement in Afghanistan might considerputting Osama bin Laden on trial for a 1996 bomb attack that killed19 American airmen in Saudi Arabia a leading Saudi-owned newspaperreported Wednesday. Bin Laden the Saudi-born Islamic militant who lives inAfghanistan has long been suspected of involvement in that andother attacks on Americans including the Aug.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30005t/NYT19981007.0384
171,U.S. SAYS IT CAN TIE BIN LADEN TO EMBASSY BOMBINGS  (JT),411,NEW YORK _ Federal prosecutors in Manhattan said Wednesday thatone of the men accused of conspiring to bomb the U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30005t/NYT19981007.0383
172,Hard-liners take lead in national elections for key assembly,580,TEHRAN Iran (AP) _ Conservative Muslim clerics were leading innational elections for a key assembly that elects and overseesIran's supreme leader according to partial results Saturday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31027t/APW19981024.0186
173,U.N. tribunal to resume probe of alleged atrocities in Kosovo,496,THE HAGUE Netherlands (AP) _ Yugoslav war crimes tribunalinvestigators plan to return to Kosovo and resume their probe ofalleged atrocities in the troubled province a tribunal officialsaid Wednesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30051t/APW19981014.0564
174,Hard-liners win national elections for key Iranian assembly,495,TEHRAN Iran (AP) _ Iran's conservatives won a decisive victoryin elections for a clergy-based assembly that oversees thecountry's supreme leader official results showed Sunday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31027t/APW19981025.0234
175,Hard-liners take lead in national elections for key assembly,584,TEHRAN Iran (AP) _ Conservative Muslim clerics were leading innational elections for a key assembly that elects and overseesIran's supreme leader according to partial results Saturday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31027t/APW19981024.0182
176,THE LEONIDS: A VIEWER'S GUIDE ,471,Unfortunately for residents of the United States the Leonidstorm on Nov.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30012t/NYT19981012.0242
177,AS METEORS NEAR SATELLITES AVERT EYES ,1649,Periodically for at least the last 1000 years a spectacularrain of meteors spawned by a passing comet has lighted up the skyinspiring fear wonder and admiration. The meteor storm which shot hundreds of thousands of blazingstreaks across the heavens 33 years ago is soon due to hit theEarth again and this time space scientists are concerned about itseffects. The behavior of periodic meteor storms is hard to predict withcertainty.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30012t/NYT19981012.0245
178,ANTITRUST CASE RELIES ON EVENTS AT 1995 MEETING ,801,WASHINGTON _ The government's case against Microsoft is anarrative that revolves around Netscape Communications Corp.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31033t/NYT19981019.0476
179,Hard-liners urge Iranians to vote to avoid embarrassment,620,TEHRAN Iran (AP) _ Fearing an embarrassing low turnout in a keyelection Friday senior conservative clerics fervently urgedIranians to vote in large numbers to show confidence in the19-year-old Islamic regime.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31027t/APW19981022.0848
180,Poland's death toll from fierce cold hits 83,136,WARSAW Poland (AP) _ The death toll from almost three weeks ofsub-zero temperatures has reached 83 after a homeless man froze todeath in a Warsaw park.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31010t/APW19981205.0353
181,DISSIDENT FROM SHANGHAI ARRIVES IN NEW YORK,450,NEW YORK _ A Chinese dissident fleeing a new round of arrests ofdemocracy activists in Shanghai arrived here Wednesday andannounced that he and other opponents of the Chinese governmentplan a demonstration Thursday at the United Nations to protest thecrackdown. The dissident Yao Zhenxian who was released in April from aChinese labor camp is a leader of the China Democracy Party whichwas formed in June during President Clinton's visit to China. Speaking through an interpreter at Kennedy InternationalAirport Yao 44 said little about why he had left Shanghaiexcept that he and his younger brother Yao Zhenxiang 38 had beensent to a labor camp in 1996 on a ``trumped-up charge'' ofpublishing pornography. The younger Yao who is also a prominent figure in the ChinaDemocracy Party is scheduled for release in April. Last week the Chinese government arrested 10 members andsympathizers of the China Democracy Party one of whom WangYoucai is to go on trial Dec.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31050t/NYT19981209.0542
182,Cold weather claims at least 69 lives in Europe,205,&UR; Eds: UPDATES with four more deaths in Poland &UR; AP Photo &UR; By ALISON MUTLER &QC; &UR; Associated Press Writer &QC;   BUCHAREST Romania (AP) _ An Arctic cold wave and accompanyingblizzards have killed at least 65 people throughout Europe policeand media reported Monday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31010t/APW19981123.1118
183,ECONOMIC LEADERS DIFFER IN STRATEGY ON CRISIS ,1222,WASHINGTON _ As financial leaders from the world's majoreconomies as well as from many of the most shell-shocked gatheredSaturday for talks the Clinton administration faced unusualchallenges from Europe Japan and emerging-market nations whichare all arriving with different and even contradictory strategiesfor stabilizing the global economy. The clash of approaches which began to play out as TreasurySecretary Robert Rubin sat down Saturday morning with Japan'sfinance minister Kiichi Miyazawa reflects both the extraordinarytension and the behind-the-scenes power struggles under way as theInternational Monetary Fund and the World Bank open their annualmeeting here. After months of market plunges currency devaluations bankfailures and bankruptcies around the globe governments aresearching desperately for some kind of coordinated approach thatcan halt some of the most virulent economic turmoil in half acentury. But it will not be easy officials concede.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30048t/NYT19981003.0074
184,North Korea to send 317-member delegation to Asian Games,260,SEOUL South Korea (AP) _ Despite catastrophic hunger at homeNorth Korea plans to send 317 athletes and officials to nextmonth's Asian Games in Thailand South Korean officials saidThursday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30020t/APW19981119.0262
185,CLINTON SAYS BOMBING SHOULD NOT DERAIL ACCORD ,451,WASHINGTON _ President Clinton expressed sympathy to IsraelFriday after a car-bomb explosion in a Jerusalem market wounded 24people but said the attack should not derail the recentland-for-security deal between Israel and the Palestinians. The president said the accord that he helped mediate last monthwas ``the best way to safety for the Israelis the best way toachieve the aspirations of the Palestinians and in the end theonly answer to Friday's act of criminal terror.'' Two suicide bombers died in the attack in Jerusalem whichappeared to be an effort to undermine the Wye agreement named forthe Maryland conference center where the settlement was reachedlast month. ``When Prime Minister Netanyahu and Chairman Arafat signed theWye River agreement they knew they would face this moment'' thepresident said interrupting a bill signing ceremony at the WhiteHouse to discuss the bombing. ``They knew when they went home both of them would be undermore danger and that terrorists would target innocent civilians;they knew they would have to muster a lot of courage in theirpeople'' he said expressing ``my sympathy to the people ofIsrael who this morning were once again the target of a viciousterrorist attack.'' ``No nation should live under the threat of violence and terrorthat they live under every day'' he said.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30010t/NYT19981106.0494
186,Lawyer: Former prison guard should be spared long sentence,564,THE HAGUE Netherlands (AP) _ A former Bosnian Muslim prisonguard charged with war crimes against Serb captives should get amilder sentence because he suffers from mental problems worsened bythe war his lawyer told a U.N.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30051t/APW19981012.0791
187,ANALYSIS: D'AMATO AND SCHUMER: NOT SO OPPOSITE ,1308,NEW YORK _ Anyone following the U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30050t/NYT19981004.0125
188,Foreign Office says British company ignored warnings over Chechnya,627,LONDON (AP) _ A Foreign Office minister said Monday that theBritish phone company whose four employees were kidnapped inChechnya at the weekend was specifically warned to withdraw fromRussia's breakaway region but ignored the advice.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30056t/APW19981005.0718
189,China looking for Asian Games gold in taekwondo,345,BEIJING (AP) _ China hopes to win its first Asian Games goldmedal in the martial art of taekwondo next month in Thailand theofficial newspaper China Sports Daily said Tuesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30020t/APW19981103.0271
190,ANALYSIS: D'AMATO AND SCHUMER: NOT SO OPPOSITE ,1308,NEW YORK _ Anyone following the U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30050t/NYT19981004.0121
191,Clash wounds three Serbs,787,SIPITULA Yugoslavia (AP) _ Three Serbs were wounded after theircars were raked by gunfire from separatist ethnic Albanians policesaid Wednesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30051t/APW19981104.0524
192,Precede ZAGREB,690,MARIJA BISTRICA Croatia (AP) _ Bestowing on him the ``radiantbadge of martyrdom'' Pope John Paul II on Saturday honoredCroatia's World War II cardinal a hero to Roman Catholics butlong a symbol of divisions in the Balkans.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31002t/APW19981003.0170
193,WHAT THE SHERMAN ACT ACTUALLY SAYS,335,Following is the text of the first two sections of the ShermanAct as passed by Congress in 1890.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31033t/NYT19981021.0066
194,U.S. CHARGES BIN LADEN IN EMBASSY BOMBINGS ,733,NEW YORK _ A federal grand jury in Manhattan returned a238-count indictment Wednesday charging the Saudi exile Osama binLaden with conspiring to bomb two U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30005t/NYT19981104.0491
195,Lawmaker: Britain must question Gen. Pinochet about killings,327,LONDON (AP) _ An influential lawmaker from the governing LaborParty on Saturday backed Spanish requests to question formerChilean dictator Gen.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30003t/APW19981017.0151
196,EMBASSY BOMB SUSPECT KNOWN FOR RELIGIOUSNESS WIT TEMPER ,2202,MORONI Comoros _ The man accused of directing the bomb attackon the American Embassy in Kenya came of age in this impoverishedIndian Ocean archipelago a land where gifted teen-agers leave hometo enroll in the radical Islamic academies of Libya Sudan andPakistan. A tightly wound brilliant student of the Koran who was thrownout of religious school for caning a lazy pupil hard enough to drawblood Abdallah Mohammed Fazul set out for Pakistan 11 years agoat age 15 to continue his education. Sometime over the next few years American authorities asserthe fell under the sway of terrorists waging what they call a holywar against the United States.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31038t/NYT19981005.0454
197,PUSH TO BUY PALM SHOWS MICROSOFT'S AGGRESSION IS CONSISTENT ,698,SAN FRANCISCO _ In a recent move that indicated he has nointention of backing away from his company's aggressive businesstactics Microsoft Corp.'s chairman Bill Gates has proposedacquiring the software business behind 3Com Corp.'s popular PalmPilot hand-held computer according to people who have been briefedon the discussions. The offer made in an August meeting with 3Com's chairman EricBenhamou was not accepted by 3Com executives those people say. But certainly Gates is said to have dangled an alluringkingmaker's deal: If 3Com were willing to sell off its softwarebusiness a market favorite compared with Microsoft's Windows CEoperating system Gates would make the company's remaining PalmComputing hardware business ``the Compaq Computer of the hand-heldmarket.'' Officials of both companies declined to confirm or deny word ofthe meeting at Microsoft's Redmond Wash. headquarters at whichthe two executives discussed a variety of strategic possibilitiesbetween the two companies according to several people privy to thediscussions. Though the proposal was unsuccessful the approach providesgraphic insight into Microsoft's business tactics.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31033t/NYT19981021.0064
198,Center-left leader emerges as favorite in speculation on new,281,ANKARA Turkey (AP) _ Turkish President Suleyman Demirel plannedto meet with Deputy Premier Bulent Ecevit on Wednesday stokingspeculation that he'd ask the center-left leader to form a newgovernment.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31009t/APW19981202.0281
199,Temperature reached 300 degrees (570F) in doomed Swissair Flight,336,ZURICH Switzerland (AP) _ Temperatures rose to 300 degrees (570degrees F) without leaving traces of fire in the front part ofSwissair Flight 111 before it crashed an in-house publication ofthe airline said Thursday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30016t/APW19981105.0853
200,GOVERNMENT OF CENTRIST TURKISH PRIME MINISTER IS VOTED OUT ,889,ISTANBUL Turkey _ The government of Prime Minister MesutYilmaz plagued since its inception 17 months ago by competingpressures from Islamic groups and the rigidly secular militarylost a vote of confidence in Parliament and fell Wednesday. The 314-214 vote came after Yilmaz was implicated in acorruption scandal in which he is said to have helped gangsters buya state-owned bank.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31009t/NYT19981125.0347
201,Haiti doesn't have money to rebuild after Hurricane Georges,460,PORT-AU-PRINCE Haiti (AP) _ Haiti has only dlrs 23 million torebuild roads bridges and irrigation canals destroyed by HurricaneGeorges less than half of what is needed for just the hardest-hitareas the government says.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31028t/APW19981031.0317
202,CHINA DEFENDS ARREST OF PROMINENT DISSIDENT ,743,BEIJING _ In response to criticism from home and abroad Chineseofficials broke their silence Wednesday to defend their arrest thisweek of a prominent dissident who was trying to form an oppositionpolitical party. ``Xu Wenli is suspected of involvement in activities damaging tonational security and has violated relevant criminal codes of thePeople's Republic of China'' said a statement from the ForeignMinistry which on Tuesday declined to comment on the arrest. The sudden arrest on Monday night of Xu as well as severalother activists involved with him in trying to form the ChinaDemocratic Party set off strong protests from human rights groupsother Chinese dissidents and Washington. ``We view his detention for peacefully exercising fundamentalfreedoms guaranteed by international human rights instruments as aserious step in the wrong direction'' State Department spokesmanJames P.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31050t/NYT19981202.0309
203,MINUS LAWYERS 2 DISSIDENTS STAND TRIAL IN CHINA ,462,BEIJING _ The separate trials of two prominent democracyadvocates for inciting subversion of the state opened Thursdaymorning with the families of both defendants protesting theirinability to hire defense lawyers. The trial in the eastern city of Hangzhou of Wang Youcai 32founder of the China Democracy Party which is now suppressed wasin session for just two hours and 10 minutes.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31050t/NYT19981217.0274
204,Cathay Pacific pulls out of talks with Philippine Airlines,648,HONG KONG (AP) _ Cathay Pacific Airways said Wednesday it hadpulled out of talks to buy a stake in ailing Philippine Airlines _making the uncertain future at PAL even cloudier.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31041t/APW19981202.0265
205,Clash wounds three Serbs,766,SIPITULA Yugoslavia (AP) _ Three Serbs were wounded after theircars were raked by gunfire from separatist ethnic Albanians policesaid Wednesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30051t/APW19981104.0537
206,Hard-liners win national elections for key Iranian assembly,123,TEHRAN Iran (AP) _ Iran's conservatives won a decisive victoryin elections for a clergy-based assembly that oversees thecountry's supreme leader official results showed Sunday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31027t/APW19981025.0210
207,Turkish leader warns against political vacuum,276,ANKARA Turkey (AP) _ One of Turkey's leading politicians warnedSunday that a political vacuum could cripple the domestic battle tokeep Islamists at bay and the fight abroad for the extradition of aKurdish rebel leader.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31009t/APW19981129.0625
208,Precede ZAGREB,688,MARIJA BISTRICA Croatia (AP) _ Bestowing on him the ``radiantbadge of martyrdom'' Pope John Paul II on Saturday honoredCroatia's World War II cardinal a hero to Roman Catholics butlong a symbol of divisions in the Balkans.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31002t/APW19981003.0180
209,Indian field hockey team turning to divine power to regain glory,439,BANGKOK Thailand (AP) _ Once at the top of world field hockeyIndia would like to have a hockey god to help regain that glory.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30020t/APW19981204.0252
210,FATHER OF JAILED CHINESE DISSIDENT TO SEEK DELAY IN SUBVERSIONTRIAL ,498,BEIJING &UR; &LR; _ Protesting the lack of a defense lawyer the fatherof a prominent dissident is to seek a delay in his son's subversiontrial scheduled to start on Thursday in the central city of Wuhan. The defendant is Qin Yongmin 45 a democracy advocate who hasspent 10 years in prison and labor camps and has recently promotedan alternative non-Communist political party. In a telephone interview Wednesday evening his father QinQinguo 76 said that before the trial begins he plans to hand thecourt a written plea for postponement.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31050t/NYT19981216.0357
211,With BC-Pacific-Typhoon,471,SAN MIGUEL Philippines (AP) _ From a distance the smashedcoconut and abaca trees scattered on the hills look like brokenmatchsticks _ a painful reminder of the destruction left by TyphoonBabs in Catanduanes.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31011t/APW19981024.0343
212,Hard-liners win national elections for key Iranian assembly,497,TEHRAN Iran (AP) _ Iran's conservatives won a decisive victoryin elections for a clergy-based assembly that oversees thecountry's supreme leader official results showed Sunday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31027t/APW19981025.0218
213,Turkish military chides Islamic leader over comment,257,ANKARA Turkey (AP) _ Turkey's secular military leadershipwarned a pro-Islamic party Monday against dragging the army intopolitics after its leader said the party has the backing of thearmy in forming a new government  Recai Kutan leader of Islamic Virtue Party was quoted by thedaily Milliyet on Saturday as saying that they were receivingsignals that the army liked the party's new moderate tone.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31009t/APW19981130.0508
214,BACK IN REDMOND MICROSOFT'S PROFIT MACHINE KEEPS HUMMING ,731,Demonstrating yet again the power of its franchise theMicrosoft Corp.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31033t/NYT19981020.0345
215,SAN JUAN: from tourists,569,Things could have been worse.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31028t/APW19981003.0142
216,NO OPPOSITION ALLOWED CHINA LEADER SAYS  (JT),842,BEIJING _ In a pointed speech delivered to Communist Partymembers in the Great Hall of the People President Jiang Zemin madeclear Friday that China's economic reforms were not a prelude toWestern-style multiparty democracy and that those who challengedthe party's supremacy would be quashed. Officially the speech was intended to commemorate the 20thanniversary of the Communist Party meeting that marked thebeginning of the reforms.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31050t/NYT19981218.0250
217,Georges goes down in history as `the hurricane that wouldn't die',702,SAN JUAN Puerto Rico (AP) _ It plowed over and past 17Caribbean islands crashing into the lives of more than 30 millionpeople.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31028t/APW19981003.0141
218,Jordan and Palestinians launch air link,224,AMMAN Jordan (AP) _ The first Palestinian commercial flightlanded at Amman's Marka Airport on Saturday inaugurating an airroute between Jordan and the autonomous Gaza Strip.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30040t/APW19981205.0220
219,Philippine Airlines Cathay Pacific discuss retrenchment of PAL,358,MANILA Philippines (AP) _ Prospective investor Cathay PacificAirways wants the number of employees at troubled PhilippineAirlines to be slashed from more than 8000 to 5000 but PAL hasnot yet agreed Finance Secretary Edgardo Espiritu said Monday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31041t/APW19981123.0257
220,NEW EVIDENCE TIES SUDANESE TO BIN LADEN U.S. ASSERTS ,796,WASHINGTON _ The United States has obtained new evidence to linkthe owner of a Sudanese factory destroyed in a U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31038t/NYT19981003.0093
221,Belgrade war crimes debate: Yugoslavia must cooperate on Kosovo,329,BELGRADE Yugoslavia (AP) _ Yugoslavia must cooperate with aU.N.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30051t/APW19981107.0700
222,JERUSALEM EXPLOSION KILLS BOMBERS INJURES 24 IMPERILS PEACEEFFORT ,628,JERUSALEM _ A red Fiat belching smoke sent shoppers fleeingmoments before it exploded outside a bustling marketplace on Fridaymorning killing the two bombers injuring 24 other people anddisabling the U.S.-brokered peace effort. The Israeli Cabinet immediately suspended deliberations on thepeace accord that was reached in Wye Mills Md. last month andcalled on Yasser Arafat the Palestinian leader to prove he wascracking down on terrorism.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30010t/NYT19981106.0468
223,Chinese divers predict Asian Games gold,196,BANGKOK Thailand (AP) _ China's women divers expect to clinchAsian Games gold in the platform competition but could face stiffcompetition from Kazakstan in the springboard.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30020t/APW19981206.0393
224,Russian lawmakers urge political asylum for Kurdish rebel leader,393,MOSCOW (AP) _ Russia's parliament on Wednesday asked PresidentBoris Yeltsin to offer political asylum to Kurdish rebel leaderAbdullah Ocalan who is wanted in Turkey on charges of heading aterrorist organization.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30044t/APW19981104.0525
225,BRAZILIANS SCALE BACK PLEDGES TO CUT BUDGET ,755,RIO DE JANEIRO Brazil _ The Brazilian government whichrecently pledged to slash discretionary spending by $7 billion inan urgent attempt to boost its economic credibility has releasednew budget figures that show the true reduction will run about halfthe promised amount. Total spending would actually increase next year. The original spending cuts announced two weeks ago were partof an anxiously awaited program to raise government revenues nextyear by $23.5 billion and represented Brazil's commitment tofiscal house cleaning and to shrinking its dangerously high budgetdeficit. The package was crucial for Brazil to qualify for a backup loanfrom the International Monetary Fund and other sources includingthe U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30025t/NYT19981110.0322
226,Chinese divers predict Asian Games gold,199,BANGKOK Thailand (AP) _ China's women divers expect to clinchAsian Games gold in the platform competition but could face stiffcompetition from Kazakstan in the springboard.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30020t/APW19981206.0390
227,WEATHER ,415,NATIONAL FORECAST &QL; Snow advisories were issued Thursday for the San Juan Mountainsin southeast Colorado as moist air drawn northward by a distantupper-level low-pressure system over northern Nevada was forced toascend the sloping terrain.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31011t/NYT19981022.0367
228,Attention turns to gubernatorial elections after Cardoso's virtual,612,SAO PAULO Brazil (AP) _ Attention has shifted in Brazil fromthe president's almost-certain re-election to gubernatorial runoffelections on which the success of belt tightening measures deemednecessary to avert an economic meltdown may hinge.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30025t/APW19981006.1099
229,Yugoslavia refuses to allow Kosovo investigations,472,THE HAGUE Netherlands (AP) _ The president of the U.N.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30051t/APW19981105.0609
230,MICROSOFT DEFENDS ITS TACTICS AS GOOD FOR THE ECONOMY ,1141,WASHINGTON _ Stinging from the government's opening statement adefiant Microsoft Corp.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31033t/NYT19981020.0315
231,British police arrest Pinochet on murder charges,698,LONDON (AP) _ Eight years after his turbulent regime endedformer Chilean strongman Gen.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30003t/APW19981017.0477
232,GOVERNMENT LAYS OUT ITS CASE AGAINST MICROSOFT ,1172,WASHINGTON _ After months of noisy prelude the antitrust trialagainst the Microsoft Corp.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31033t/NYT19981019.0284
233,Mubarak arrives in Saudi for talks with Fahd,198,RIYADH Saudi Arabia (AP) _ Egyptian President Hosni Mubarakarrived Saturday for a one-day visit to discuss regional problemswith Saudi King Fahd and other high-ranking officials.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30028t/APW19981003.0487
234,ACCEDING TO SPAIN BRITAIN ARRESTS FORMER CHILEAN LEADER AUGUSTOPINOCHET ,1216,BUENOS AIRES Argentina _ Gen.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30003t/NYT19981017.0177
235,SCIENCE TAKES ITS SEAT FOR THE NIGHT OF THE METEORS ,1275,By the time the earth collides with a dense swarm of meteoroidsTuesday night to unleash what may be the heaviest meteorbombardment since 1966 many orbiting satellites will havemaneuvered into positions facing away from the storm to avoiddamage. But scores of instruments on the ground and aboard airplaneswill be aimed right at the blazing trails left by the meteorsgathering information about these visitors from space and what theydo to the upper atmosphere as they burn up. Astrophysicists atmospheric scientists and others have beenreadying their experiments for a year or more in preparation forTuesday night's expected Leonid Meteor storm so named because themeteors appear to be coming from the direction of the constellationLeo.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30012t/NYT19981116.0199
236,Mandela at odds over deputy president Mbeki over apartheid report,258,JOHANNESBURG South Africa (AP) _ President Nelson Mandelaacknowledged Saturday the African National Congress violated humanrights during apartheid setting him at odds with his deputypresident over a report that has divided much of South Africa.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31001t/APW19981031.0742
237,ARAB CONCERN GROWS OVER TURKEY-SYRIA DISPUTE,544,CAIRO Egypt _ In a sign of Arab concern over growing tensionsbetween Turkey and Syria Egyptian President Hosni Mubarak flew onshort notice to Syria on Sunday in an effort to defuse what isbeing portrayed in the Middle East as an unsettling crisis. Mubarak met with Syrian President Hafez al-Assad and wasexpected to renew his mediation bid on Monday by traveling toAnkara the Turkish capital for meetings with top officials there. Turkish officials have accused Syria of allowing the country tobe used as a base for Kurdish rebels who have been fighting forself-rule in southeastern Turkey.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30028t/NYT19981004.0069
238,GEORGES WAS AN ISLAND HOPPER ,1973,For 11 days last month Hurricane Georges plowed across theCaribbean killing at least 500 people and inflicting propertydamage estimated at more than $5 billion as it weaved throughnearly a dozen countries before expiring as an early fall rainstormover Georgia.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31028t/NYT19981020.0178
239,Tens of thousands of people search for stars,612,Whether they stood on the tallest mountain in Thailand or thedesert in California tens of thousands of people were searchingthe skies for a glimpse of the biggest meteor shower in decades.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30012t/APW19981117.1226
240,CHINA APPEARS READY TO PUT LEADER OF NEW PARTY ON TRIAL,495,BEIJING _ One leader of a suppressed new political party will betried on Dec.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31050t/NYT19981207.0280
